,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,ARI,SD,5,22,9.794565946776919,7.5,11.0,3.0,OVER,8.0,7.0,UNDER,-100
1,PHI,CHC,5,22,9.428135251189598,11.0,8.0,14.0,UNDER,6.0,12.0,OVER,-100
2,NYY,BAL,5,22,9.59030379793158,10.5,9.0,13.0,UNDER,4.0,12.0,OVER,-100
3,KC,STL,5,22,9.800799185655872,9.0,12.0,8.5,OVER,3.5,13.0,OVER,100
4,CWS,HOU,5,22,8.707528885389856,8.5,3.0,6.0,UNDER,3.0,13.0,OVER,-100
5,KC,STL,5,22,10.19001180448935,9.5,14.0,11.5,OVER,2.5,10.0,OVER,100
6,MIN,LAA,5,22,9.116534920615695,9.0,6.0,8.5,UNDER,2.5,9.0,PUSH,0
7,BOS,TOR,5,22,9.169087048245547,9.0,7.0,8.5,UNDER,1.5,11.0,OVER,-100
8,OAK,CLE,5,22,9.869770959287793,9.5,13.0,11.5,OVER,1.5,9.0,UNDER,-100
9,MIA,DET,5,22,9.790151542063322,9.0,10.0,8.5,OVER,1.5,9.0,PUSH,0
10,ATL,SF,5,22,8.773033331456094,7.5,4.0,3.0,OVER,1.0,11.0,OVER,100
11,CIN,MIL,5,22,8.557762072662761,7.5,2.0,3.0,UNDER,1.0,20.0,OVER,-100
12,LAD,TB,5,22,8.866239118773462,8.0,5.0,5.0,OVER,0.0,9.0,OVER,100
13,WSH,NYM,5,22,8.34218147510311,6.5,1.0,1.0,OVER,0.0,7.0,OVER,100
14,SEA,TEX,5,22,10.511746784093376,11.5,15.0,15.0,OVER,0.0,3.0,UNDER,-100
