,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIA,DET,5,21,9.81308777353068,7.0,8.0,1.5,OVER,6.5,9.0,OVER,100
1,CWS,HOU,5,21,8.538339038394833,8.5,1.0,7.5,UNDER,6.5,6.0,UNDER,100
2,PHI,CHC,5,21,9.840317029199667,7.5,9.0,3.5,OVER,5.5,5.0,UNDER,-100
3,CIN,MIL,5,21,9.338891192237908,8.5,3.0,7.5,UNDER,4.5,3.0,UNDER,100
4,ARI,SD,5,21,9.673217046222325,7.0,6.0,1.5,OVER,4.5,5.0,UNDER,-100
5,NYY,BAL,5,21,9.684845377994023,9.5,7.0,11.5,UNDER,4.5,15.0,OVER,-100
6,BOS,TOR,5,21,9.401081887801505,8.5,4.0,7.5,UNDER,3.5,13.0,OVER,-100
7,LAD,TB,5,21,8.648137804033205,8.0,2.0,5.0,UNDER,3.0,10.0,OVER,-100
8,OAK,CLE,5,21,10.128879923811176,8.5,10.0,7.5,OVER,2.5,8.0,UNDER,-100
9,MIN,LAA,5,21,10.219640543709655,9.0,12.0,10.0,OVER,2.0,11.0,OVER,100
10,COL,PIT,5,21,9.609608522370369,7.5,5.0,3.5,OVER,1.5,5.0,UNDER,-100
11,KC,STL,5,21,10.216726643778902,9.5,11.0,11.5,UNDER,0.5,9.5,PUSH,0
